trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,True,"{'a': 0.0, 'e': 0.0}",20,16,6.621345612373943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,13,17.347555307623658,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,13,15.473872004883752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",25,20,7.986452498993946,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",30,16,28.03149658433514,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",25,12,26.731690978217813,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,17,16.056025009984523,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,6,36.95762773667121,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",25,11,27.89414256643038,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",35,20,29.05283707788587,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",20,11,19.588587695415235,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",25,17,16.932636501380696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",25,7,32.49306017514,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",20,14,12.75770891529022,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
